node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
0,0,0,0,,3000,,,,,rigid,rigid
100,4.15,0,0,,3100,,,,,rigid,rigid
200,8.3,0,0,,4200,,,,,rigid,rigid
300,11.25,0,0,,4300,,,,,rigid,rigid
400,15.4,0,0,,3400,,,,,rigid,rigid
500,19.55,0,0,,3500,,,,,rigid,rigid
10,0,5.25,0,,3010,,,,,rigid,rigid
110,4.15,5.25,0,,3110,,,,,rigid,rigid
210,8.3,5.25,0,,3210,,,,,rigid,rigid
310,11.25,5.25,0,,3310,,,,,rigid,rigid
410,15.4,5.25,0,,3410,,,,,rigid,rigid
510,19.55,5.25,0,,3510,,,,,rigid,rigid
20,0,10.5,0,,3020,,,,,rigid,rigid
120,4.15,10.5,0,,3120,,,,,rigid,rigid
220,8.3,10.5,0,,3220,,,,,rigid,rigid
320,11.25,10.5,0,,3320,,,,,rigid,rigid
420,15.4,10.5,0,,3420,,,,,rigid,rigid
520,19.55,10.5,0,,3520,,,,,rigid,rigid
1,0,0,3.7,3000,3001,,1001,,2001,rigid,rigid
101,4.15,0,3.7,3100,3101,1001,1101,,2101,rigid,rigid
201,8.3,0,3.7,5200,4201,1101,1201,,2201,rigid,rigid
301,11.25,0,3.7,5300,4301,1201,1301,,2301,rigid,rigid
401,15.4,0,3.7,3400,3401,1301,1401,,2401,rigid,rigid
501,19.55,0,3.7,3500,3501,1401,,,2501,rigid,rigid
11,0,5.25,3.7,3010,3011,,1011,2001,2011,rigid,rigid
111,4.15,5.25,3.7,3110,3111,1011,1111,2101,2111,rigid,rigid
211,8.3,5.25,3.7,3210,3211,1111,1211,2201,2211,rigid,rigid
311,11.25,5.25,3.7,3310,3311,1211,1311,2301,2311,rigid,rigid
411,15.4,5.25,3.7,3410,3411,1311,1411,2401,2411,rigid,rigid
511,19.55,5.25,3.7,3510,3511,1411,,2501,2511,rigid,rigid
21,0,10.5,3.7,3020,3021,,1021,2011,,rigid,rigid
121,4.15,10.5,3.7,3120,3121,1021,1121,2111,,rigid,rigid
221,8.3,10.5,3.7,3220,3221,1121,1221,2211,,rigid,rigid
321,11.25,10.5,3.7,3320,3321,1221,1321,2311,,rigid,rigid
421,15.4,10.5,3.7,3420,3421,1321,1421,2411,,rigid,rigid
521,19.55,10.5,3.7,3520,3521,1421,,2511,,rigid,rigid
2,0,0,6.8,3001,3002,,1002,,2002,rigid,rigid
102,4.15,0,6.8,3101,3102,1002,1102,,2102,rigid,rigid
202,8.3,0,6.8,5201,4202,1102,1202,,2202,rigid,rigid
302,11.25,0,6.8,5301,4302,1202,1302,,2302,rigid,rigid
402,15.4,0,6.8,3401,3402,1302,1402,,2402,rigid,rigid
502,19.55,0,6.8,3501,3502,1402,,,2502,rigid,rigid
12,0,5.25,6.8,3011,3012,,1012,2002,2012,rigid,rigid
112,4.15,5.25,6.8,3111,3112,1012,1112,2102,2112,rigid,rigid
212,8.3,5.25,6.8,3211,3212,1112,1212,2202,2212,rigid,rigid
312,11.25,5.25,6.8,3311,3312,1212,1312,2302,2312,rigid,rigid
412,15.4,5.25,6.8,3411,3412,1312,1412,2402,2412,rigid,rigid
512,19.55,5.25,6.8,3511,3512,1412,,2502,2512,rigid,rigid
22,0,10.5,6.8,3021,3022,,1022,2012,,rigid,rigid
122,4.15,10.5,6.8,3121,3122,1022,1122,2112,,rigid,rigid
222,8.3,10.5,6.8,3221,3222,1122,1222,2212,,rigid,rigid
322,11.25,10.5,6.8,3321,3322,1222,1322,2312,,rigid,rigid
422,15.4,10.5,6.8,3421,3422,1322,1422,2412,,rigid,rigid
522,19.55,10.5,6.8,3521,3522,1422,,2512,,rigid,rigid
3,0,0,9.9,3002,3003,,1003,,2003,rigid,rigid
103,4.15,0,9.9,3102,3103,1003,1103,,2103,rigid,rigid
203,8.3,0,9.9,5202,4203,1103,1203,,2203,rigid,rigid
303,11.25,0,9.9,5302,4303,1203,1303,,2303,rigid,rigid
403,15.4,0,9.9,3402,3403,1303,1403,,2403,rigid,rigid
503,19.55,0,9.9,3502,3503,1403,,,2503,rigid,rigid
13,0,5.25,9.9,3012,3013,,1013,2003,2013,rigid,rigid
113,4.15,5.25,9.9,3112,3113,1013,1113,2103,2113,rigid,rigid
213,8.3,5.25,9.9,3212,3213,1113,1213,2203,2213,rigid,rigid
313,11.25,5.25,9.9,3312,3313,1213,1313,2303,2313,rigid,rigid
413,15.4,5.25,9.9,3412,3413,1313,1413,2403,2413,rigid,rigid
513,19.55,5.25,9.9,3512,3513,1413,,2503,2513,rigid,rigid
23,0,10.5,9.9,3022,3023,,1023,2013,,rigid,rigid
123,4.15,10.5,9.9,3122,3123,1023,1123,2113,,rigid,rigid
223,8.3,10.5,9.9,3222,3223,1123,1223,2213,,rigid,rigid
323,11.25,10.5,9.9,3322,3323,1223,1323,2313,,rigid,rigid
423,15.4,10.5,9.9,3422,3423,1323,1423,2413,,rigid,rigid
523,19.55,10.5,9.9,3522,3523,1423,,2513,,rigid,rigid
4,0,0,13,3003,,,1004,,2004,rigid,rigid
104,4.15,0,13,3103,,1004,1104,,2104,rigid,rigid
204,8.3,0,13,5203,,1104,1204,,2204,rigid,rigid
304,11.25,0,13,5303,,1204,1304,,2304,rigid,rigid
404,15.4,0,13,3403,,1304,1404,,2404,rigid,rigid
504,19.55,0,13,3503,,1404,,,2504,rigid,rigid
14,0,5.25,13,3013,,,1014,2004,2014,rigid,rigid
114,4.15,5.25,13,3113,,1014,1114,2104,2114,rigid,rigid
214,8.3,5.25,13,3213,,1114,1214,2204,2214,rigid,rigid
314,11.25,5.25,13,3313,,1214,1314,2304,2314,rigid,rigid
414,15.4,5.25,13,3413,,1314,1414,2404,2414,rigid,rigid
514,19.55,5.25,13,3513,,1414,,2504,2514,rigid,rigid
24,0,10.5,13,3023,,,1024,2014,,rigid,rigid
124,4.15,10.5,13,3123,,1024,1124,2114,,rigid,rigid
224,8.3,10.5,13,3223,,1124,1224,2214,,rigid,rigid
324,11.25,10.5,13,3323,,1224,1324,2314,,rigid,rigid
424,15.4,10.5,13,3423,,1324,1424,2414,,rigid,rigid
524,19.55,10.5,13,3523,,1424,,2514,,rigid,rigid
1201,8.3,0,1.85,4200,5200,,6300,,,rigid,rigid
1301,11.25,0,1.85,4300,5300,6300,,,,rigid,rigid
1202,8.3,0,5.25,4201,5201,,6301,,,rigid,rigid
1302,11.25,0,5.25,4301,5301,6301,,,,rigid,rigid
1203,8.3,0,8.35,4202,5202,,6302,,,rigid,rigid
1303,11.25,0,8.35,4302,5302,6302,,,,rigid,rigid
1204,8.3,0,11.45,4203,5203,,6303,,,rigid,rigid
1304,11.25,0,11.45,4303,5303,6303,,,,rigid,rigid
